Auteur;Destinataire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Piza, Flavio de Toledo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Salom, Rodolfo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Andreón, Roberto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sánchez-Castañer, Francisco;Aínsa, Fernando (1937-....);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Calvo Hernando, Manuel (1923-2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Milla, Benito (1918-1987) | Aínsa, Fernando (1937-.…);Aínsa, Fernando (1937-.…) | Milla, Benito (1918-1987);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jáureguy, Julio César | Aínsa, Fernando (1937-.…);Aínsa, Fernando (1937-.…) | Jáureguy, Julio César;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Belarra, Nel | Aínsa, Fernando (1937-.…);Aínsa, Fernando (1937-.…) | Belarra, Nel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Papa Blanco, Sergio (1929-1989);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Santos, Mario Nelson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Jara, Enrique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Vientós Gastón, Nilita (1908-1989);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Calvo Hernando, Manuel (1923-2012);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Jáureguy, Julio César;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Agudelo Ramírez, Luiz E.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Non déterminé;Aínsa, Fernando (1937-.…);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Tabbush, Yvonne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jáureguy, Julio César;Aínsa, Fernando (1937-....);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Jáureguy, Julio César;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Sanguinetti, Julio María (1936-.…);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Non déterminé;Aínsa, Fernando (1937-.…);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Redondo de Feldman, Susana;Aínsa, Fernando (1937-.…);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Belarra, Nell;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Milla, Benito (1918-1987);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
García Robles, Hugo (1931-2013) | Aínsa, Fernando (1937-.…);Aínsa, Fernando (1937-.…) | García Robles, Hugo (1931-2013);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Diez, Luis Alfonso;Aínsa, Fernando (1937-....);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Non déterminé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Vientós Gastón, Nilita (1908-1989);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Ortega, Julio (1942-.…);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Sanguinetti, Julio María (1936-.…);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aínsa, Fernando (1937-....);Jáureguy, Julio César;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
