authorSource,authorDest,score
"b'Narvaezberthelemot, N'","b'Magde, B'",2.861353116146786
"b'Nagpaul, PS'","b'Karisiddippa, CR'",2.861353116146786
"b'Nagpaul, PS'","b'Gupta, BM'",2.861353116146786
"b'Nagpaul, PS'","b'Garg, KC'",2.861353116146786
"b'Munoz-fernandez, FJ'","b'Del Castillo, JM'",2.861353116146786
"b'Moreno, L'","b'Galvez, L'",2.861353116146786
"b'Moreno, L'","b'Criado, E'",2.861353116146786
"b'Moreno, L'","b'Bernal, G'",2.861353116146786
"b'Mijangos-nolasco, A'","b'Magde, B'",2.861353116146786
"b'Martin-sempere, MJ'","b'Albert, A'",2.861353116146786
"b'Markusova, VA'","b'Liang, LM'",2.861353116146786
"b'Markusova, VA'","b'Guo, YZ'",2.861353116146786
"b'Magri, MH'","b'Devillard, J'",2.861353116146786
"b'Liang, LM'","b'Hood, WW'",2.861353116146786
"b'Li, XM'","b'Hysen, K'",2.861353116146786
"b'Legentil, M'","b'Devillard, J'",2.861353116146786
"b'Kretschmer, H'","b'Arora, J'",2.861353116146786
"b'Johnson, B'","b'Hellgardt, K'",2.861353116146786
"b'Hysen, K'","b'Cothey, V'",2.861353116146786
"b'Hood, WW'","b'Guo, YZ'",2.861353116146786
"b'Hellgardt, K'","b'Ahmed, T'",2.861353116146786
"b'Galvez, L'","b'Criado, E'",2.861353116146786
"b'Eisemon, TO'","b'Cronin, B'",2.861353116146786
"b'Devillard, J'","b'Delooze, MA'",2.861353116146786
"b'Devillard, J'","b'Coronini, R'",2.861353116146786
"b'Del Castillo, JM'","b'Corera-alvarez, E'",2.861353116146786
"b'Del Castillo, JM'","b'Chinchilla-rodriguez, Z'",2.861353116146786
"b'Cronin, B'","b'Chungcharoen, A'",2.861353116146786
"b'Criado, E'","b'Bernal, G'",2.861353116146786
"b'Zulueta, MA'","b'Sanz, E'",2.5701944178769374
"b'Zulueta, MA'","b'Salvador, P'",2.5701944178769374
"b'Zulueta, MA'","b'Braun, T'",2.5701944178769374
"b'Zitt, M'","b'Limoges, C'",2.5701944178769374
"b'Zitt, M'","b'Courtial, JP'",2.5701944178769374
"b'Zitt, M'","b'Cambrosio, A'",2.5701944178769374
"b'Zitt, M'","b'Callon, M'",2.5701944178769374
"b'Zhang, YH'","b'Yamazaki, S'",2.5701944178769374
"b'Zhang, YH'","b'Li, J4'",2.5701944178769374
"b'Zhang, YH'","b'He, L'",2.5701944178769374
"b'Zhang, YH'","b'He, DG'",2.5701944178769374
"b'Zhang, YH'","b'Guo, HN'",2.5701944178769374
"b'Zelman, A'","b'Wouters, P'",2.5701944178769374
"b'Zelman, A'","b'Wagner, CS'",2.5701944178769374
"b'Zelman, A'","b'Vilanova, MR'",2.5701944178769374
"b'Zelman, A'","b'Gauthier, L'",2.5701944178769374
"b'Zelman, A'","b'Cozzens, S'",2.5701944178769374
"b'Yamazaki, S'","b'Li, J4'",2.5701944178769374
"b'Yamazaki, S'","b'He, L'",2.5701944178769374
"b'Yamazaki, S'","b'He, DG'",2.5701944178769374
"b'Yamazaki, S'","b'Guo, HN'",2.5701944178769374
"b'Xu, XS'","b'Wu, YS'",2.5701944178769374
"b'Xu, XS'","b'Rousseau, R'",2.5701944178769374
"b'Xu, XS'","b'Glanzel, W'",2.5701944178769374
"b'Wu, YS'","b'Shan, S'",2.5701944178769374
"b'Wu, YS'","b'Jiang, L'",2.5701944178769374
"b'Wouters, P'","b'Wagner, CS'",2.5701944178769374
