authorSource,authorDest,score
"b'Landstrom, H'","b'Dastidar, PG'",2.861353116146786
"b'Lambiotte, R'","b'Cantu, AG'",2.861353116146786
"b'Kipp, MEI'","b'Glanzel, W'",2.861353116146786
"b'Iribarren-maestro, I'","b'Bordons, M'",2.861353116146786
"b'Hellsten, I'","b'Cantu, AG'",2.861353116146786
"b'Hazelton, M'","b'Gehanno, JF'",2.861353116146786
"b'Glenisson, P'","b'Dastidar, PG'",2.861353116146786
"b'Glenisson, P'","b'Cornelius, B'",2.861353116146786
"b'Glanzel, W'","b'Gao, YJ'",2.861353116146786
"b'Glanzel, W'","b'Echermane, A'",2.861353116146786
"b'Glanzel, W'","b'Dastidar, PG'",2.861353116146786
"b'Glanzel, W'","b'Cornelius, B'",2.861353116146786
"b'Furusawa, L'","b'Chaimovich, H'",2.861353116146786
"b'Dorta-contreras, AJ'","b'Arencibia-jorge, R'",2.861353116146786
"b'Dastidar, PG'","b'Cornelius, B'",2.861353116146786
"b'Chaimovich, H'","b'Barbati, AD'",2.861353116146786
"b'Zych, I'","b'Salmeron, JL'",2.5701944178769374
"b'Youtie, J'","b'Senker, J'",2.5701944178769374
"b'Youtie, J'","b'Roessner, D'",2.5701944178769374
"b'Youtie, J'","b'Perreault, M'",2.5701944178769374
"b'Youtie, J'","b'Kuhlmann, S'",2.5701944178769374
"b'Youtie, J'","b'Heinze, T'",2.5701944178769374
"b'Youtie, J'","b'Cohen, SA'",2.5701944178769374
"b'Visser, MS'","b'Van Mackelenbergh, M'",2.5701944178769374
"b'Visser, MS'","b'Valdes, CC'",2.5701944178769374
"b'Visser, MS'","b'Oldenburg, BF'",2.5701944178769374
"b'Visser, MS'","b'Nicol, MB'",2.5701944178769374
"b'Visser, MS'","b'Laine, T'",2.5701944178769374
"b'Visser, MS'","b'Henadeera, K'",2.5701944178769374
"b'Visser, MS'","b'Donovan, C'",2.5701944178769374
"b'Visser, MS'","b'Clay, MA'",2.5701944178769374
"b'Visser, MS'","b'Buter, RK'",2.5701944178769374
"b'Vignola-gagne, E'","b'Bontems, V'",2.5701944178769374
"b'Verner, JM'","b'Salvucci, LJ'",2.5701944178769374
"b'Verner, JM'","b'Osareh, F'",2.5701944178769374
"b'Van Mackelenbergh, M'","b'Valdes, CC'",2.5701944178769374
"b'Van Mackelenbergh, M'","b'Lopez-illescas, C'",2.5701944178769374
"b'Van Looy, B'","b'Persson, O'",2.5701944178769374
"b'Valdes, CC'","b'Lopez-illescas, C'",2.5701944178769374
"b'Valdes, CC'","b'Laine, T'",2.5701944178769374
"b'Valdes, CC'","b'Buter, RK'",2.5701944178769374
"b'Torres, G'","b'Salmeron, JL'",2.5701944178769374
"b'Smith, DMS'","b'Schoon, ML'",2.5701944178769374
"b'Smith, DMS'","b'Ke, W'",2.5701944178769374
"b'Smith, DMS'","b'Boerner, K'",2.5701944178769374
"b'Shapira, P'","b'Roessner, D'",2.5701944178769374
"b'Shapira, P'","b'Perreault, M'",2.5701944178769374
"b'Shapira, P'","b'Cohen, SA'",2.5701944178769374
"b'Senker, J'","b'Schoeneck, DJ'",2.5701944178769374
"b'Senker, J'","b'Porter, AL'",2.5701944178769374
"b'Schoon, ML'","b'Mcallister, RRJ'",2.5701944178769374
"b'Schoon, ML'","b'Izquierdo, LR'",2.5701944178769374
